0	10000
0.05	9500
0.1	9025
0.15	8573.75
0.2	8145.06
0.25	7737.81
0.3	7350.92
0.35	6983.37
0.4	6634.2
0.45	6302.49
0.5	5987.37
0.55	5688
0.6	5403.6
0.65	5133.42
0.7	4876.75
0.75	4632.91
0.8	4401.27
0.85	4181.2
0.9	3972.14
0.95	3773.54
1	3584.86
1.05	3405.62
1.1	3235.34
1.15	3073.57
1.2	2919.89
1.25	2773.9
1.3	2635.2
1.35	2503.44
1.4	2378.27
1.45	2259.36
1.5	2146.39
1.55	2039.07
1.6	1937.11
1.65	1840.26
1.7	1748.25
1.75	1660.83
1.8	1577.79
1.85	1498.9
1.9	1423.96
1.95	1352.76
2	1285.12
2.05	1220.87
2.1	1159.82
2.15	1101.83
2.2	1046.74
2.25	994.403
2.3	944.682
2.35	897.448
2.4	852.576
2.45	809.947
2.5	769.45
2.55	730.977
2.6	694.428
2.65	659.707
2.7	626.722
2.75	595.386
2.8	565.616
2.85	537.335
2.9	510.469
2.95	484.945
3	460.698
3.05	437.663
3.1	415.78
3.15	394.991
3.2	375.241
3.25	356.479
3.3	338.655
3.35	321.723
3.4	305.636
3.45	290.355
3.5	275.837
3.55	262.045
3.6	248.943
3.65	236.496
3.7	224.671
3.75	213.437
3.8	202.765
3.85	192.627
3.9	182.996
3.95	173.846
4	165.154
4.05	156.896
4.1	149.051
4.15	141.599
4.2	134.519
4.25	127.793
4.3	121.403
4.35	115.333
4.4	109.566
4.45	104.088
4.5	98.8836
4.55	93.9395
4.6	89.2425
4.65	84.7804
4.7	80.5413
4.75	76.5143
4.8	72.6886
4.85	69.0541
4.9	65.6014
4.95	62.3214
